Тип ответа;Описание
Ответ не полный;Ответ бота частично отвечает на вопрос, но в ответе отсутствуют важные детали
"Ответ о «другом»
(не соответствует вопросу)";Ответ бота не отвечает на вопрос, а содержит информацию о чем-то другом
В ответе добавлены лишние детали;Ответ бота содержит дополнительную информацию, которая искажает ответ, вводит в заблуждение
Ответ придуман;Бот сгенерировал ответ или часть ответа, не содержащиеся в документах
Ответ не сгенерирован;Ответ бота не сгенерирован (в т.ч. ответ в стиле «Не знаю ответа»)
Техническая ошибка;Ответ бота содержит технические ошибки: зацикливание, непонятные фразы / слова, или бот «завис»
Некорректный источник;В списке источников находится нерелевантная информация
Некорректный стиль ответа;Бот отвечает не в соответствии с пользовательской историей
Плохое цитирование;Бот не придерживается фактов, указанных в источниках
;
